source_pt,idx,formula,n_atom,a,b,c,alpha,beta,gamma,density
eval_gen_FM0.pt,1,Ac,1,3.7028348445892334,3.709269046783447,3.505652666091919,74.8985366821289,67.26651763916016,64.4921875,9.46539944585736
eval_gen_FM0.pt,2,La3TiGe3C,8,4.527813911437987,5.856552600860596,6.443357467651367,100.14864349365236,96.8212127685547,89.99493408203125,6.907482971149864
eval_gen_FM1.pt,1,UNi(PdS2)2,8,5.968590259552003,5.970651626586915,5.951751232147217,113.86318969726562,115.7634506225586,100.49303436279297,6.73211989732248
eval_gen_FM1.pt,2,PrAs3Pd4,16,7.13998794555664,7.024839401245117,6.903600215911865,111.34867858886719,100.60057067871094,96.61985778808594,8.459961355200766
eval_gen_FM2.pt,1,Cs2FeReCO6F,12,4.38543701171875,5.400345802307129,8.992319107055664,95.98308563232423,94.74478912353517,90.28120422363281,4.99493900242261
eval_gen_FM2.pt,2,HgRhF6,8,5.975956439971924,5.940798282623291,5.935877799987793,57.63917541503906,59.196762084960945,59.49854278564455,4.788852328781492
eval_gen_FM3.pt,1,NaLiVBO4,8,4.741720676422119,4.736630439758302,4.814908981323242,58.89696502685547,63.79739379882813,63.93855285644532,3.236375097831043
eval_gen_FM3.pt,2,Pr2SmGd(B2O5)2,18,5.889674186706544,5.845392227172852,6.916001319885254,110.62849426269531,105.7861862182617,93.11981964111328,6.225638691764112
eval_gen_FM4.pt,1,Ba2DyYF10,14,5.577884197235107,5.702101707458495,6.753571510314941,98.91484069824219,92.51010894775392,92.61206817626953,5.616399880326568
eval_gen_FM4.pt,2,Ca2Al2O5,18,4.926253318786621,5.713181972503663,7.721742630004883,108.22496032714844,105.09107208251953,94.44855499267578,3.6227468468501276
eval_gen_partial_FM0_001.pt,1,Ac,1,3.7028348445892334,3.709269046783447,3.505652666091919,74.8985366821289,67.26651763916016,64.4921875,9.46539944585736
eval_gen_partial_FM0_002.pt,1,Ac,1,3.7028348445892334,3.709269046783447,3.505652666091919,74.8985366821289,67.26651763916016,64.4921875,9.46539944585736
eval_gen_partial_FM0_002.pt,2,La3TiGe3C,8,4.527813911437987,5.856552600860596,6.443357467651367,100.14864349365236,96.8212127685547,89.99493408203125,6.907482971149864
eval_gen_partial_FM1_001.pt,1,UNi(PdS2)2,8,5.968590259552003,5.970651626586915,5.951751232147217,113.86318969726562,115.7634506225586,100.49303436279297,6.73211989732248
eval_gen_partial_FM1_002.pt,1,UNi(PdS2)2,8,5.968590259552003,5.970651626586915,5.951751232147217,113.86318969726562,115.7634506225586,100.49303436279297,6.73211989732248
eval_gen_partial_FM1_002.pt,2,PrAs3Pd4,16,7.13998794555664,7.024839401245117,6.903600215911865,111.34867858886719,100.60057067871094,96.61985778808594,8.459961355200766
eval_gen_partial_FM2_001.pt,1,Cs2FeReCO6F,12,4.38543701171875,5.400345802307129,8.992319107055664,95.98308563232423,94.74478912353517,90.28120422363281,4.99493900242261
eval_gen_partial_FM2_002.pt,1,Cs2FeReCO6F,12,4.38543701171875,5.400345802307129,8.992319107055664,95.98308563232423,94.74478912353517,90.28120422363281,4.99493900242261
eval_gen_partial_FM2_002.pt,2,HgRhF6,8,5.975956439971924,5.940798282623291,5.935877799987793,57.63917541503906,59.196762084960945,59.49854278564455,4.788852328781492
eval_gen_partial_FM3_001.pt,1,NaLiVBO4,8,4.741720676422119,4.736630439758302,4.814908981323242,58.89696502685547,63.79739379882813,63.93855285644532,3.236375097831043
eval_gen_partial_FM3_002.pt,1,NaLiVBO4,8,4.741720676422119,4.736630439758302,4.814908981323242,58.89696502685547,63.79739379882813,63.93855285644532,3.236375097831043
eval_gen_partial_FM3_002.pt,2,Pr2SmGd(B2O5)2,18,5.889674186706544,5.845392227172852,6.916001319885254,110.62849426269531,105.7861862182617,93.11981964111328,6.225638691764112
eval_gen_partial_FM4_001.pt,1,Ba2DyYF10,14,5.577884197235107,5.702101707458495,6.753571510314941,98.91484069824219,92.51010894775392,92.61206817626953,5.616399880326568
eval_gen_partial_FM4_002.pt,1,Ba2DyYF10,14,5.577884197235107,5.702101707458495,6.753571510314941,98.91484069824219,92.51010894775392,92.61206817626953,5.616399880326568
eval_gen_partial_FM4_002.pt,2,Ca2Al2O5,18,4.926253318786621,5.713181972503663,7.721742630004883,108.22496032714844,105.09107208251953,94.44855499267578,3.6227468468501276
eval_gen_FM0.pt,1,Rb2BaNa2AcLaMg2ScBe2Tl2Fe2SiNi2SnHg,21,3.5689690113067627,5.675728321075439,6.40948486328125,91.83692169189453,90.69073486328125,92.64938354492188,23.27749314548844
eval_gen_FM0.pt,2,Rb2NaLiAcLa2Eu2ScBeGaFeSiNi2HgBi2SbN,21,3.5689690113067627,5.675728321075439,6.40948486328125,91.83692169189453,90.69073486328125,92.64938354492188,26.761678958001568
eval_gen_FM0.pt,3,Rb2BaNa2AcLaMg2ScMn2Tl2Fe2SiNi2HgN,21,3.5689690113067627,5.675728321075439,6.40948486328125,91.83692169189453,90.69073486328125,92.64938354492188,23.112849285052555
eval_gen_FM0.pt,4,Rb2NaAcLaEu3GdMg2Mn2Tl2Fe2SiNi2Hg,21,3.5689690113067627,5.675728321075439,6.40948486328125,91.83692169189453,90.69073486328125,92.64938354492188,28.158695189021074
eval_gen_FM0.pt,5,Rb2BaNa2AcLaMg2ScMn2Tl2Fe2SiNi2HgN,21,3.5689690113067627,5.675728321075439,6.40948486328125,91.83692169189453,90.69073486328125,92.64938354492188,23.112849285052555
eval_gen_FM0.pt,6,Rb2NaAcLaEu2Mg2ScBeTl2Fe2SiNi2HgSbN,21,3.5689690113067627,5.675728321075439,6.40948486328125,91.83692169189453,90.69073486328125,92.64938354492188,25.220382625528433
eval_gen_FM0.pt,7,Rb2Na2AcLa2Eu2ScBe2AlFeSiNi2AgHgBi2,21,3.5689690113067627,5.675728321075439,6.40948486328125,91.83692169189453,90.69073486328125,92.64938354492188,26.177757939377457
