formula,mu_b,samples,sources,dxmag_type,n_elements
Ag2As,0.0,2,dxmag,half,2.0
Ag2AsAu,0.0,5,dxmag,inverse,3.0
Ag2AsIr,0.0,4,dxmag,full,3.0
Ag2AsOs,0.0,7,dxmag,full,3.0
Ag2AsPd,0.0,4,dxmag,full,3.0
Ag2AsPt,0.0,5,dxmag,full,3.0
Ag2AsRh,0.0,4,dxmag,full,3.0
Ag2AsRu,0.559744925,8,dxmag,full,3.0
Ag2AsW,8.625e-06,8,dxmag,full,3.0
Ag2Bi,0.0,1,dxmag,half,2.0
Ag2BiAu,0.0,4,dxmag,full,3.0
Ag2BiIr,0.0,5,dxmag,full,3.0
Ag2BiMo,2.5810172,5,dxmag,full,3.0
Ag2BiOs,0.0,6,dxmag,full,3.0
Ag2BiPd,0.0,3,dxmag,full,3.0
Ag2BiPt,0.0,3,dxmag,full,3.0
Ag2BiRh,0.0,4,dxmag,full,3.0
Ag2BiRu,0.104311725,10,dxmag,full,3.0
Ag2BiW,2.26025035,8,dxmag,full,3.0
Ag2Ge,0.0,2,dxmag,half,2.0
Ag2GeAu,0.0,3,dxmag,full,3.0
Ag2GeIr,0.0,3,dxmag,full,3.0
Ag2GeMo,1.916860325,8,dxmag,full,3.0
Ag2GeOs,0.3860487,8,dxmag,full,3.0
Ag2GePd,0.0,3,dxmag,full,3.0
Ag2GePt,0.0,3,dxmag,full,3.0
Ag2GeRh,0.0,4,dxmag,full,3.0
Ag2GeRu,0.9190875,8,dxmag,full,3.0
Ag2GeW,0.712688225,10,dxmag,full,3.0
Ag2IrPb,0.0,4,dxmag,full,3.0
Ag2MoAs,0.48869265,7,dxmag,full,3.0
Ag2MoP,1.4379399499999999,6,dxmag,full,3.0
Ag2MoPb,2.92776795,6,dxmag,full,3.0
Ag2OsPb,0.112584875,6,dxmag,full,3.0
Ag2P,0.0,4,dxmag,half,2.0
Ag2PAu,0.0,6,dxmag,full,3.0
Ag2PIr,5e-08,9,dxmag,full,3.0
Ag2POs,0.0,7,dxmag,full,3.0
Ag2PPd,0.0,5,dxmag,full,3.0
Ag2PPt,0.0,6,dxmag,full,3.0
Ag2PRh,0.0,6,dxmag,full,3.0
Ag2PRu,0.664879175,10,dxmag,full,3.0
Ag2PW,2.4e-06,7,dxmag,full,3.0
Ag2Pb,0.0,1,dxmag,half,2.0
Ag2PbAu,0.0,3,dxmag,full,3.0
Ag2PbW,1.1556175,8,dxmag,full,3.0
Ag2PdPb,0.0,3,dxmag,full,3.0
Ag2PtPb,0.0,3,dxmag,full,3.0
Ag2RhPb,0.0,6,dxmag,full,3.0
Ag2RuPb,0.574519125,10,dxmag,full,3.0
Ag2Sb,0.0,1,dxmag,half,2.0
Ag2SbAu,0.0,7,dxmag,full,3.0
Ag2SbIr,0.0,3,dxmag,full,3.0
Ag2SbMo,2.34260515,5,dxmag,full,3.0
Ag2SbOs,3.55e-06,7,dxmag,full,3.0
Ag2SbPd,0.0,5,dxmag,full,3.0
Ag2SbPt,0.0,4,dxmag,full,3.0
Ag2SbRh,0.0,4,dxmag,full,3.0
Ag2SbRu,0.353249925,6,dxmag,full,3.0
Ag2SbW,0.36294855000000004,8,dxmag,full,3.0
Ag2Sn,0.0,1,dxmag,half,2.0
Ag2SnAu,0.0,4,dxmag,full,3.0
Ag2SnIr,0.0,3,dxmag,full,3.0
Ag2SnMo,1.693387275,10,dxmag,full,3.0
Ag2SnOs,0.001527025,6,dxmag,full,3.0
Ag2SnPd,0.0,5,dxmag,full,3.0
Ag2SnPt,0.0,4,dxmag,full,3.0
Ag2SnRh,0.0,5,dxmag,full,3.0
Ag2SnRu,0.228412275,8,dxmag,full,3.0
Ag2SnW,1.683606675,8,dxmag,full,3.0
Ag3As,0.0,2,dxmag,full,2.0
Ag3Bi,0.0,3,dxmag,full,2.0
Ag3Ge,0.0,2,dxmag,full,2.0
Ag3P,0.0,3,dxmag,full,2.0
Ag3Pb,0.0,2,dxmag,full,2.0
Ag3Sb,0.0,2,dxmag,full,2.0
Ag3Sn,0.0,2,dxmag,full,2.0
AgAsAu,0.0,4,dxmag,half,3.0
AgAsAu2,0.0,4,dxmag,full,3.0
AgAsIr,0.0,4,dxmag,half,3.0
AgAsIr2,0.0,3,dxmag,full,3.0
AgAsOs,7.08e-05,7,dxmag,half,3.0
AgAsOs2,0.0,3,dxmag,inverse,3.0
AgAsPd,0.0,4,dxmag,half,3.0
AgAsPd2,0.0,3,dxmag,inverse,3.0
AgAsPt,0.0,5,dxmag,half,3.0
AgAsPt2,0.0,4,dxmag,full,3.0
AgAsRh,0.0,4,dxmag,half,3.0
AgAsRh2,2.7e-06,4,dxmag,inverse,3.0
AgAsRu,0.303439225,6,dxmag,half,3.0
AgAsRu2,0.1258385,5,dxmag,inverse,3.0
AgAsW,1.8649353,8,dxmag,half,3.0
AgAsW2,0.0,5,dxmag,inverse,3.0
AgBiAu,0.0,3,dxmag,half,3.0
AgBiAu2,0.0,7,dxmag,inverse,3.0
AgBiIr,0.0,3,dxmag,half,3.0
AgBiIr2,0.0,4,dxmag,full,3.0
AgBiMo,3.00307365,7,dxmag,half,3.0
AgBiMo2,0.0003428,5,dxmag,inverse,3.0
AgBiOs,-0.0,5,dxmag,half,3.0
AgBiOs2,1.095e-05,7,dxmag,inverse,3.0
AgBiPd,0.0,4,dxmag,half,3.0
AgBiPd2,0.0,3,dxmag,inverse,3.0
AgBiPt,0.0,3,dxmag,half,3.0
AgBiPt2,0.0,3,dxmag,inverse,3.0
AgBiRh,0.0,4,dxmag,half,3.0
AgBiRh2,0.000579475,6,dxmag,full,3.0
AgBiRu,5e-08,5,dxmag,half,3.0
AgBiRu2,0.5067256,7,dxmag,inverse,3.0
AgBiW,2.431596125,8,dxmag,half,3.0
AgBiW2,0.0,4,dxmag,full,3.0
AgGeAu,0.0,3,dxmag,half,3.0
AgGeAu2,0.0,5,dxmag,inverse,3.0
AgGeIr,0.0,4,dxmag,half,3.0
AgGeIr2,0.0,5,dxmag,inverse,3.0
AgGeMo,1.7353809,8,dxmag,half,3.0
AgGeMo2,0.0,6,dxmag,inverse,3.0
AgGeOs,0.42750655,8,dxmag,half,3.0
AgGeOs2,0.0,3,dxmag,inverse,3.0
AgGePd,0.0,4,dxmag,half,3.0
AgGePd2,0.0,3,dxmag,inverse,3.0
AgGePt,0.0,6,dxmag,half,3.0
AgGePt2,0.0,5,dxmag,full,3.0
AgGeRh,0.0,5,dxmag,half,3.0
AgGeRh2,3.2499999999999996e-07,6,dxmag,inverse,3.0
AgGeRu,0.0,5,dxmag,half,3.0
AgGeRu2,0.2255147,9,dxmag,inverse,3.0
AgGeW,1.657121975,10,dxmag,half,3.0
AgGeW2,0.0,7,dxmag,inverse,3.0
AgIr2Pb,0.0,5,dxmag,inverse,3.0
AgIrPb,0.0,4,dxmag,half,3.0
AgMo2As,0.0,5,dxmag,inverse,3.0
AgMo2P,0.0,5,dxmag,inverse,3.0
AgMo2Pb,1e-07,7,dxmag,inverse,3.0
AgMoAs,1.35533585,5,dxmag,half,3.0
AgMoP,1.2960792250000002,6,dxmag,half,3.0
AgMoPb,2.4866896499999998,8,dxmag,half,3.0
AgOs2Pb,0.00533315,7,dxmag,inverse,3.0
AgOsPb,1.1766842,7,dxmag,half,3.0
AgPAu,0.0,6,dxmag,half,3.0
AgPAu2,0.0,5,dxmag,full,3.0
AgPIr,0.0,4,dxmag,half,3.0
AgPIr2,0.0,4,dxmag,full,3.0
AgPOs,0.000696675,6,dxmag,half,3.0
AgPOs2,1.5e-07,6,dxmag,inverse,3.0
AgPPd,0.0,5,dxmag,half,3.0
AgPPd2,0.0,4,dxmag,full,3.0
AgPPt,0.0,5,dxmag,half,3.0
AgPPt2,0.0,5,dxmag,full,3.0
AgPRh,0.0,4,dxmag,half,3.0
AgPRh2,0.0,4,dxmag,full,3.0
AgPRu,0.000299,7,dxmag,half,3.0
AgPRu2,0.0,5,dxmag,inverse,3.0
AgPW,0.00088095,9,dxmag,half,3.0
AgPW2,0.0,6,dxmag,full,3.0
AgPbAu,0.0,2,dxmag,half,3.0
AgPbAu2,0.0,3,dxmag,inverse,3.0
AgPbW,1.948137875,8,dxmag,half,3.0
AgPbW2,0.0,7,dxmag,full,3.0
AgPd2Pb,0.0,3,dxmag,inverse,3.0
AgPdPb,0.0,4,dxmag,half,3.0
AgPt2Pb,0.0,5,dxmag,full,3.0
AgPtPb,0.0,4,dxmag,half,3.0
AgRh2Pb,0.0,4,dxmag,full,3.0
AgRhPb,0.0,5,dxmag,half,3.0
AgRu2Pb,1.33066755,11,dxmag,inverse,3.0
AgRuPb,0.6949373999999999,8,dxmag,half,3.0
AgSbAu,0.0,3,dxmag,half,3.0
AgSbAu2,0.0,4,dxmag,full,3.0
AgSbIr,0.0,4,dxmag,half,3.0
AgSbIr2,0.0,5,dxmag,inverse,3.0
AgSbMo,1.551692675,8,dxmag,half,3.0
AgSbMo2,2.5e-08,6,dxmag,inverse,3.0
AgSbOs,5e-08,5,dxmag,half,3.0
AgSbOs2,0.0,3,dxmag,inverse,3.0
AgSbPd,0.0,3,dxmag,half,3.0
AgSbPd2,0.0,3,dxmag,inverse,3.0
AgSbPt,0.0,4,dxmag,half,3.0
AgSbPt2,0.0,4,dxmag,full,3.0
AgSbRh,0.0,4,dxmag,half,3.0
AgSbRh2,0.0,6,dxmag,full,3.0
AgSbRu,6.275e-06,6,dxmag,half,3.0
AgSbRu2,0.00016085,6,dxmag,full,3.0
AgSbW,1.5363459499999998,8,dxmag,half,3.0
AgSbW2,0.0,5,dxmag,inverse,3.0
AgSnAu,0.0,3,dxmag,half,3.0
AgSnAu2,0.0,4,dxmag,inverse,3.0
AgSnIr,0.0,3,dxmag,half,3.0
AgSnIr2,0.197572,7,dxmag,inverse,3.0
AgSnMo,1.8898844750000001,8,dxmag,half,3.0
AgSnMo2,0.0,5,dxmag,full,3.0
AgSnOs,0.3429467,7,dxmag,half,3.0
AgSnOs2,0.0,5,dxmag,inverse,3.0
AgSnPd,0.0,4,dxmag,half,3.0
AgSnPd2,0.0,4,dxmag,inverse,3.0
AgSnPt,0.0,6,dxmag,half,3.0
AgSnPt2,0.0,6,dxmag,full,3.0
AgSnRh,0.0,4,dxmag,half,3.0
AgSnRh2,0.0,5,dxmag,inverse,3.0
AgSnRu,0.0,5,dxmag,half,3.0
AgSnRu2,0.6808554,12,dxmag,inverse,3.0
AgSnW,1.7636719,7,dxmag,half,3.0
AgSnW2,0.0,5,dxmag,full,3.0
AlAg2,0.0,2,dxmag,half,2.0
AlAg2Au,0.0,3,dxmag,full,3.0
AlAg2Ir,0.0,3,dxmag,full,3.0
AlAg2Mo,2.0012376499999998,8,dxmag,full,3.0
AlAg2Os,0.0,6,dxmag,full,3.0
AlAg2Pd,0.0,4,dxmag,full,3.0
AlAg2Pt,0.0,4,dxmag,full,3.0
AlAg2Rh,0.0,5,dxmag,full,3.0
AlAg2Ru,0.0,4,dxmag,full,3.0
AlAg2W,1.429783425,12,dxmag,full,3.0
AlAg3,0.0,2,dxmag,full,2.0
AlAgAu,0.0,4,dxmag,half,3.0
AlAgAu2,0.0,3,dxmag,inverse,3.0
AlAgIr,0.0,4,dxmag,half,3.0
AlAgIr2,0.471541275,6,dxmag,inverse,3.0
AlAgMo,1.92133555,7,dxmag,half,3.0
AlAgMo2,0.0,5,dxmag,full,3.0
AlAgOs,0.0027622,9,dxmag,half,3.0
AlAgOs2,0.0,4,dxmag,full,3.0
