file,predicted_mu_b
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0001.cif,2.3576176818535015
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0002.cif,2.4397126411612837
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0003.cif,2.2284635635692416
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0004.cif,2.2045089872082246
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0005.cif,1.4305071839330037
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0006.cif,1.5663779974898304
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0007.cif,2.5277108760338773
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0008.cif,2.3965453057780333
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0009.cif,3.271149153679649
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0010.cif,2.146599504490268
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0011.cif,2.276902983804267
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0012.cif,1.292758487828116
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0013.cif,2.6587127352850057
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0014.cif,1.0834313848656427
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0015.cif,1.3194849111245583
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0016.cif,4.4189671591090205
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0017.cif,1.796343703987717
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0018.cif,2.9307557086826823
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0019.cif,2.87749923432281
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0020.cif,3.3892918493089597
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0021.cif,2.291414403536575
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0022.cif,1.08622872766635
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0023.cif,2.9756895466638693
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0024.cif,2.2362846393688542
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0025.cif,2.3068370407472205
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0026.cif,2.855315991508126
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0027.cif,2.9683584861229524
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0028.cif,3.065619507157396
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0029.cif,2.7641400010966555
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0030.cif,4.056438425356848
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0031.cif,3.600806074791114
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0032.cif,2.926389806254154
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0033.cif,2.503879576509805
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0034.cif,1.2169742715448588
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0035.cif,2.4734488292726913
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0036.cif,2.4157053202999164
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0037.cif,2.45087024847335
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0038.cif,1.026808465515113
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0039.cif,1.6179880875282422
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0040.cif,1.658612893944636
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0041.cif,2.54203986435191
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0042.cif,2.8840877246657204
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0043.cif,1.813910319130455
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0044.cif,0.6661602745344456
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0045.cif,2.399995496147661
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0046.cif,1.842051086975056
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0047.cif,3.2340372419615564
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0048.cif,2.6546554912517224
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0049.cif,2.046845601424928
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0050.cif,2.483269792074012
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0051.cif,2.6366352662787294
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0052.cif,1.5002642019187409
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0053.cif,1.120247783254021
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0054.cif,2.6753167856161517
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0055.cif,2.313736415545813
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0056.cif,2.0455669929174762
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0057.cif,3.1247160042056463
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0058.cif,2.5129142299321234
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0059.cif,2.8374587630685477
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0060.cif,1.2008782938911011
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0061.cif,1.8469287206558258
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0062.cif,1.7876148161047476
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0001.cif,2.059736264127568
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0002.cif,2.431166472144394
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0003.cif,2.2093754698138364
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0004.cif,2.2511026255225177
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0005.cif,2.523446297090406
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0006.cif,2.3376815034010305
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0007.cif,2.6069826936682867
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0008.cif,2.1233697862028538
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0009.cif,2.644883102829267
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0010.cif,2.477279750604932
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0011.cif,2.756349263271139
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0012.cif,1.7100907032887678
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0013.cif,1.6219253112591274
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0014.cif,2.1920366479547826
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0015.cif,2.6837420491529667
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0016.cif,2.1128372601206866
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0017.cif,1.2182146159791067
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0018.cif,2.182674150845399
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0019.cif,1.7543347742108868
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0020.cif,2.2545613392676715
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0021.cif,2.2107679395922486
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0022.cif,2.575417972046395
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0023.cif,2.5335808586874236
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0024.cif,2.489601690360266
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0025.cif,2.0813283729577097
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0026.cif,0.5806704521577662
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0027.cif,2.1078518248096514
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0028.cif,2.3985340951439995
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0029.cif,1.828935893972794
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0030.cif,2.923675430318271
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0031.cif,2.5080894125842685
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0032.cif,2.4016012099801745
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0033.cif,2.335160191507747
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0034.cif,1.2646191429383036
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0035.cif,1.0722384269075071
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0036.cif,2.7914467608873497
